id_produto,nome_produto,categoria,marca,preco_unitario,estoque_atual,id_fornecedor
101,Placa de Vídeo RTX 4070,Placa de Vídeo,NVIDIA,3499.90,15,1
102,SSD NVMe 1TB,Armazenamento,Kingston,459.90,40,2
103,Processador Ryzen 7 5800X,Processador,AMD,1299.00,20,1
104,Fonte 750W 80 Plus Gold,Fonte de Alimentação,Corsair,589.99,10,3
105,Memória RAM 16GB DDR4,Memória,Crucial,339.90,30,2
106,Gabinete Gamer Mid Tower,Gabinete,Cooler Master,429.90,25,4
107,Placa-Mãe B550M,Placa-Mãe,ASUS,879.00,12,3
108,Water Cooler 240mm RGB,Refrigeração,DeepCool,499.90,18,5
109,SSD SATA 480GB,Armazenamento,Western Digital,289.90,60,5
110,Memória RAM 32GB DDR5,Memória,Corsair,769.90,8,4
